State,Year,value,indicator,unit,higher_is_better,part_of_sti
Kedah,2017,88.888889,Coastal Good+Excellent (%),%,True,True
Kedah,2017,64.7,Labour Force Participation Rate (%),%,True,True
Kedah,2017,27.158774,Non-Domestic Water Share (%),%,False,True
Kedah,2017,2085.451747,Tourism Receipts per Resident (RM),RM,True,True
Kedah,2017,2.8,Unemployment Rate (%),%,False,True
Kedah,2017,0.0,Coastal Poor (%),%,,False
Kedah,2017,6201.0,Mangrove Area (ha),ha,,False
Kedah,2017,1694.0,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kedah,2017,6.205763,Visitors per Resident,ratio,,False
Kedah,2018,2.29,Avg Length of Stay (nights),nights,True,True
Kedah,2018,100.0,Coastal Good+Excellent (%),%,True,True
Kedah,2018,63.675,Labour Force Participation Rate (%),%,True,True
Kedah,2018,26.979866,Non-Domestic Water Share (%),%,False,True
Kedah,2018,2184.003699,Tourism Receipts per Resident (RM),RM,True,True
Kedah,2018,2.9,Unemployment Rate (%),%,False,True
Kedah,2018,0.0,Coastal Poor (%),%,,False
Kedah,2018,6201.0,Mangrove Area (ha),ha,,False
Kedah,2018,1657.3,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kedah,2018,6.694414,Visitors per Resident,ratio,,False
Kedah,2019,2.31,Avg Length of Stay (nights),nights,True,True
Kedah,2019,77.777778,Coastal Good+Excellent (%),%,True,True
Kedah,2019,63.225,Labour Force Participation Rate (%),%,True,True
Kedah,2019,27.40448,Non-Domestic Water Share (%),%,False,True
Kedah,2019,2395.9148,Tourism Receipts per Resident (RM),RM,True,True
Kedah,2019,2.8,Unemployment Rate (%),%,False,True
Kedah,2019,0.0,Coastal Poor (%),%,,False
Kedah,2019,6201.0,Mangrove Area (ha),ha,,False
Kedah,2019,840.07,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kedah,2019,6.822929,Visitors per Resident,ratio,,False
Kedah,2020,1.97,Avg Length of Stay (nights),nights,True,True
Kedah,2020,88.888889,Coastal Good+Excellent (%),%,True,True
Kedah,2020,63.3,Labour Force Participation Rate (%),%,True,True
Kedah,2020,25.162973,Non-Domestic Water Share (%),%,False,True
Kedah,2020,1066.435207,Tourism Receipts per Resident (RM),RM,True,True
Kedah,2020,4.1,Unemployment Rate (%),%,False,True
Kedah,2020,0.0,Coastal Poor (%),%,,False
Kedah,2020,6201.0,Mangrove Area (ha),ha,,False
Kedah,2020,1670.0,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kedah,2020,4.742423,Visitors per Resident,ratio,,False
Kedah,2021,1.96,Avg Length of Stay (nights),nights,True,True
Kedah,2021,100.0,Coastal Good+Excellent (%),%,True,True
Kedah,2021,63.7,Labour Force Participation Rate (%),%,True,True
Kedah,2021,23.276983,Non-Domestic Water Share (%),%,False,True
Kedah,2021,391.318492,Tourism Receipts per Resident (RM),RM,True,True
Kedah,2021,3.9,Unemployment Rate (%),%,False,True
Kedah,2021,0.0,Coastal Poor (%),%,,False
Kedah,2021,6201.0,Mangrove Area (ha),ha,,False
Kedah,2021,1442.5,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kedah,2021,1.869685,Visitors per Resident,ratio,,False
Kedah,2022,2.11,Avg Length of Stay (nights),nights,True,True
Kedah,2022,100.0,Coastal Good+Excellent (%),%,True,True
Kedah,2022,64.2,Labour Force Participation Rate (%),%,True,True
Kedah,2022,27.927928,Non-Domestic Water Share (%),%,False,True
Kedah,2022,1604.179187,Tourism Receipts per Resident (RM),RM,True,True
Kedah,2022,3.0,Unemployment Rate (%),%,False,True
Kedah,2022,0.0,Coastal Poor (%),%,,False
Kedah,2022,6714.0,Mangrove Area (ha),ha,,False
Kedah,2022,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kedah,2022,5.171282,Visitors per Resident,ratio,,False
Kedah,2023,2.03,Avg Length of Stay (nights),nights,True,True
Kedah,2023,100.0,Coastal Good+Excellent (%),%,True,True
Kedah,2023,65.3,Labour Force Participation Rate (%),%,True,True
Kedah,2023,35.234474,Non-Domestic Water Share (%),%,False,True
Kedah,2023,1921.618782,Tourism Receipts per Resident (RM),RM,True,True
Kedah,2023,2.9,Unemployment Rate (%),%,False,True
Kedah,2023,0.0,Coastal Poor (%),%,,False
Kedah,2023,,Mangrove Area (ha),ha,,False
Kedah,2023,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kedah,2023,6.140776,Visitors per Resident,ratio,,False
Kedah,2024,2.77,Avg Length of Stay (nights),nights,True,True
Kedah,2024,100.0,Coastal Good+Excellent (%),%,True,True
Kedah,2024,66.625,Labour Force Participation Rate (%),%,True,True
Kedah,2024,36.189258,Non-Domestic Water Share (%),%,False,True
Kedah,2024,2237.607686,Tourism Receipts per Resident (RM),RM,True,True
Kedah,2024,2.525,Unemployment Rate (%),%,False,True
Kedah,2024,0.0,Coastal Poor (%),%,,False
Kedah,2024,,Mangrove Area (ha),ha,,False
Kedah,2024,1696.0,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kedah,2024,6.608182,Visitors per Resident,ratio,,False
Kedah,2025,2.82,Avg Length of Stay (nights),nights,True,True
Kedah,2025,,Coastal Good+Excellent (%),%,True,True
Kedah,2025,66.7,Labour Force Participation Rate (%),%,True,True
Kedah,2025,,Non-Domestic Water Share (%),%,False,True
Kedah,2025,2478.559562,Tourism Receipts per Resident (RM),RM,True,True
Kedah,2025,2.425,Unemployment Rate (%),%,False,True
Kedah,2025,,Coastal Poor (%),%,,False
Kedah,2025,,Mangrove Area (ha),ha,,False
Kedah,2025,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kedah,2025,7.008217,Visitors per Resident,ratio,,False
Kelantan,2015,,Avg Length of Stay (nights),nights,True,True
Kelantan,2015,0.0,Coastal Good+Excellent (%),%,True,True
Kelantan,2015,61.9,Labour Force Participation Rate (%),%,True,True
Kelantan,2015,31.465517,Non-Domestic Water Share (%),%,False,True
Kelantan,2015,,Tourism Receipts per Resident (RM),RM,True,True
Kelantan,2015,3.6,Unemployment Rate (%),%,False,True
Kelantan,2015,0.0,Coastal Poor (%),%,,False
Kelantan,2015,,Mangrove Area (ha),ha,,False
Kelantan,2015,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kelantan,2015,5.151653,Visitors per Resident,ratio,,False
Kelantan,2016,,Avg Length of Stay (nights),nights,True,True
Kelantan,2016,0.0,Coastal Good+Excellent (%),%,True,True
Kelantan,2016,59.1,Labour Force Participation Rate (%),%,True,True
Kelantan,2016,31.799163,Non-Domestic Water Share (%),%,False,True
Kelantan,2016,,Tourism Receipts per Resident (RM),RM,True,True
Kelantan,2016,3.8,Unemployment Rate (%),%,False,True
Kelantan,2016,0.0,Coastal Poor (%),%,,False
Kelantan,2016,,Mangrove Area (ha),ha,,False
Kelantan,2016,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kelantan,2016,4.812156,Visitors per Resident,ratio,,False
Kelantan,2017,2.94,Avg Length of Stay (nights),nights,True,True
Kelantan,2017,100.0,Coastal Good+Excellent (%),%,True,True
Kelantan,2017,61.1,Labour Force Participation Rate (%),%,True,True
Kelantan,2017,32.780083,Non-Domestic Water Share (%),%,False,True
Kelantan,2017,1986.878075,Tourism Receipts per Resident (RM),RM,True,True
Kelantan,2017,3.6,Unemployment Rate (%),%,False,True
Kelantan,2017,0.0,Coastal Poor (%),%,,False
Kelantan,2017,,Mangrove Area (ha),ha,,False
Kelantan,2017,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kelantan,2017,5.261708,Visitors per Resident,ratio,,False
Kelantan,2018,2.88,Avg Length of Stay (nights),nights,True,True
Kelantan,2018,100.0,Coastal Good+Excellent (%),%,True,True
Kelantan,2018,60.725,Labour Force Participation Rate (%),%,True,True
Kelantan,2018,34.136546,Non-Domestic Water Share (%),%,False,True
Kelantan,2018,2150.497178,Tourism Receipts per Resident (RM),RM,True,True
Kelantan,2018,4.0,Unemployment Rate (%),%,False,True
Kelantan,2018,0.0,Coastal Poor (%),%,,False
Kelantan,2018,,Mangrove Area (ha),ha,,False
Kelantan,2018,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kelantan,2018,5.292192,Visitors per Resident,ratio,,False
Kelantan,2019,3.01,Avg Length of Stay (nights),nights,True,True
Kelantan,2019,100.0,Coastal Good+Excellent (%),%,True,True
Kelantan,2019,59.225,Labour Force Participation Rate (%),%,True,True
Kelantan,2019,34.274194,Non-Domestic Water Share (%),%,False,True
Kelantan,2019,2548.041193,Tourism Receipts per Resident (RM),RM,True,True
Kelantan,2019,4.0,Unemployment Rate (%),%,False,True
Kelantan,2019,0.0,Coastal Poor (%),%,,False
Kelantan,2019,,Mangrove Area (ha),ha,,False
Kelantan,2019,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kelantan,2019,5.831829,Visitors per Resident,ratio,,False
Kelantan,2020,1.86,Avg Length of Stay (nights),nights,True,True
Kelantan,2020,83.333333,Coastal Good+Excellent (%),%,True,True
Kelantan,2020,56.5,Labour Force Participation Rate (%),%,True,True
Kelantan,2020,30.612245,Non-Domestic Water Share (%),%,False,True
Kelantan,2020,867.503487,Tourism Receipts per Resident (RM),RM,True,True
Kelantan,2020,4.2,Unemployment Rate (%),%,False,True
Kelantan,2020,0.0,Coastal Poor (%),%,,False
Kelantan,2020,,Mangrove Area (ha),ha,,False
Kelantan,2020,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kelantan,2020,3.379637,Visitors per Resident,ratio,,False
Kelantan,2021,3.14,Avg Length of Stay (nights),nights,True,True
Kelantan,2021,100.0,Coastal Good+Excellent (%),%,True,True
Kelantan,2021,55.8,Labour Force Participation Rate (%),%,True,True
Kelantan,2021,28.451883,Non-Domestic Water Share (%),%,False,True
Kelantan,2021,263.201457,Tourism Receipts per Resident (RM),RM,True,True
Kelantan,2021,4.0,Unemployment Rate (%),%,False,True
Kelantan,2021,0.0,Coastal Poor (%),%,,False
Kelantan,2021,,Mangrove Area (ha),ha,,False
Kelantan,2021,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kelantan,2021,1.05994,Visitors per Resident,ratio,,False
Kelantan,2022,3.16,Avg Length of Stay (nights),nights,True,True
Kelantan,2022,100.0,Coastal Good+Excellent (%),%,True,True
Kelantan,2022,56.3,Labour Force Participation Rate (%),%,True,True
Kelantan,2022,32.217573,Non-Domestic Water Share (%),%,False,True
Kelantan,2022,1412.65159,Tourism Receipts per Resident (RM),RM,True,True
Kelantan,2022,3.6,Unemployment Rate (%),%,False,True
Kelantan,2022,0.0,Coastal Poor (%),%,,False
Kelantan,2022,,Mangrove Area (ha),ha,,False
Kelantan,2022,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kelantan,2022,3.620125,Visitors per Resident,ratio,,False
Kelantan,2023,3.07,Avg Length of Stay (nights),nights,True,True
Kelantan,2023,100.0,Coastal Good+Excellent (%),%,True,True
Kelantan,2023,57.3,Labour Force Participation Rate (%),%,True,True
Kelantan,2023,33.193277,Non-Domestic Water Share (%),%,False,True
Kelantan,2023,1735.670502,Tourism Receipts per Resident (RM),RM,True,True
Kelantan,2023,3.5,Unemployment Rate (%),%,False,True
Kelantan,2023,0.0,Coastal Poor (%),%,,False
Kelantan,2023,,Mangrove Area (ha),ha,,False
Kelantan,2023,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kelantan,2023,4.059039,Visitors per Resident,ratio,,False
Kelantan,2024,2.98,Avg Length of Stay (nights),nights,True,True
Kelantan,2024,100.0,Coastal Good+Excellent (%),%,True,True
Kelantan,2024,57.7,Labour Force Participation Rate (%),%,True,True
Kelantan,2024,32.786885,Non-Domestic Water Share (%),%,False,True
Kelantan,2024,2405.318078,Tourism Receipts per Resident (RM),RM,True,True
Kelantan,2024,3.6,Unemployment Rate (%),%,False,True
Kelantan,2024,0.0,Coastal Poor (%),%,,False
Kelantan,2024,,Mangrove Area (ha),ha,,False
Kelantan,2024,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kelantan,2024,5.569151,Visitors per Resident,ratio,,False
Kelantan,2025,2.98,Avg Length of Stay (nights),nights,True,True
Kelantan,2025,,Coastal Good+Excellent (%),%,True,True
Kelantan,2025,59.25,Labour Force Participation Rate (%),%,True,True
Kelantan,2025,,Non-Domestic Water Share (%),%,False,True
Kelantan,2025,2910.555556,Tourism Receipts per Resident (RM),RM,True,True
Kelantan,2025,4.075,Unemployment Rate (%),%,False,True
Kelantan,2025,,Coastal Poor (%),%,,False
Kelantan,2025,,Mangrove Area (ha),ha,,False
Kelantan,2025,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kelantan,2025,6.701111,Visitors per Resident,ratio,,False
Melaka,2015,,Avg Length of Stay (nights),nights,True,True
Melaka,2015,16.666667,Coastal Good+Excellent (%),%,True,True
Melaka,2015,66.6,Labour Force Participation Rate (%),%,True,True
Melaka,2015,47.938144,Non-Domestic Water Share (%),%,False,True
Melaka,2015,,Tourism Receipts per Resident (RM),RM,True,True
Melaka,2015,1.0,Unemployment Rate (%),%,False,True
Melaka,2015,0.0,Coastal Poor (%),%,,False
Melaka,2015,102.0,Mangrove Area (ha),ha,,False
Melaka,2015,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Melaka,2015,12.994376,Visitors per Resident,ratio,,False
Melaka,2016,,Avg Length of Stay (nights),nights,True,True
Melaka,2016,0.0,Coastal Good+Excellent (%),%,True,True
Melaka,2016,65.4,Labour Force Participation Rate (%),%,True,True
Melaka,2016,49.135802,Non-Domestic Water Share (%),%,False,True
Melaka,2016,,Tourism Receipts per Resident (RM),RM,True,True
Melaka,2016,0.9,Unemployment Rate (%),%,False,True
Melaka,2016,0.0,Coastal Poor (%),%,,False
Melaka,2016,135.0,Mangrove Area (ha),ha,,False
Melaka,2016,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Melaka,2016,13.614471,Visitors per Resident,ratio,,False
Melaka,2017,2.69,Avg Length of Stay (nights),nights,True,True
Melaka,2017,44.444444,Coastal Good+Excellent (%),%,True,True
Melaka,2017,65.6,Labour Force Participation Rate (%),%,True,True
Melaka,2017,49.759615,Non-Domestic Water Share (%),%,False,True
Melaka,2017,5441.901216,Tourism Receipts per Resident (RM),RM,True,True
Melaka,2017,1.0,Unemployment Rate (%),%,False,True
Melaka,2017,0.0,Coastal Poor (%),%,,False
Melaka,2017,136.0,Mangrove Area (ha),ha,,False
Melaka,2017,848.0,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Melaka,2017,13.826508,Visitors per Resident,ratio,,False
Melaka,2018,2.23,Avg Length of Stay (nights),nights,True,True
Melaka,2018,66.666667,Coastal Good+Excellent (%),%,True,True
Melaka,2018,66.9,Labour Force Participation Rate (%),%,True,True
Melaka,2018,49.759615,Non-Domestic Water Share (%),%,False,True
Melaka,2018,6032.090199,Tourism Receipts per Resident (RM),RM,True,True
Melaka,2018,1.1,Unemployment Rate (%),%,False,True
Melaka,2018,0.0,Coastal Poor (%),%,,False
Melaka,2018,136.0,Mangrove Area (ha),ha,,False
Melaka,2018,950.0,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Melaka,2018,14.226587,Visitors per Resident,ratio,,False
Melaka,2019,2.29,Avg Length of Stay (nights),nights,True,True
Melaka,2019,0.0,Coastal Good+Excellent (%),%,True,True
Melaka,2019,67.975,Labour Force Participation Rate (%),%,True,True
Melaka,2019,50.471698,Non-Domestic Water Share (%),%,False,True
Melaka,2019,6861.266695,Tourism Receipts per Resident (RM),RM,True,True
Melaka,2019,1.1,Unemployment Rate (%),%,False,True
Melaka,2019,0.0,Coastal Poor (%),%,,False
Melaka,2019,136.0,Mangrove Area (ha),ha,,False
Melaka,2019,851.77,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Melaka,2019,15.057087,Visitors per Resident,ratio,,False
Melaka,2020,1.8,Avg Length of Stay (nights),nights,True,True
Melaka,2020,55.555556,Coastal Good+Excellent (%),%,True,True
Melaka,2020,66.2,Labour Force Participation Rate (%),%,True,True
Melaka,2020,46.782178,Non-Domestic Water Share (%),%,False,True
Melaka,2020,2376.802885,Tourism Receipts per Resident (RM),RM,True,True
Melaka,2020,2.4,Unemployment Rate (%),%,False,True
Melaka,2020,0.0,Coastal Poor (%),%,,False
Melaka,2020,136.0,Mangrove Area (ha),ha,,False
Melaka,2020,952.0,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Melaka,2020,7.286659,Visitors per Resident,ratio,,False
Melaka,2021,1.86,Avg Length of Stay (nights),nights,True,True
Melaka,2021,55.555556,Coastal Good+Excellent (%),%,True,True
Melaka,2021,67.65,Labour Force Participation Rate (%),%,True,True
Melaka,2021,44.444444,Non-Domestic Water Share (%),%,False,True
Melaka,2021,999.50224,Tourism Receipts per Resident (RM),RM,True,True
Melaka,2021,2.1,Unemployment Rate (%),%,False,True
Melaka,2021,0.0,Coastal Poor (%),%,,False
Melaka,2021,238.0,Mangrove Area (ha),ha,,False
Melaka,2021,981.0,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Melaka,2021,3.860767,Visitors per Resident,ratio,,False
Melaka,2022,2.14,Avg Length of Stay (nights),nights,True,True
Melaka,2022,77.777778,Coastal Good+Excellent (%),%,True,True
Melaka,2022,69.8,Labour Force Participation Rate (%),%,True,True
Melaka,2022,45.454545,Non-Domestic Water Share (%),%,False,True
Melaka,2022,4801.705334,Tourism Receipts per Resident (RM),RM,True,True
Melaka,2022,1.7,Unemployment Rate (%),%,False,True
Melaka,2022,0.0,Coastal Poor (%),%,,False
Melaka,2022,238.0,Mangrove Area (ha),ha,,False
Melaka,2022,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Melaka,2022,11.656752,Visitors per Resident,ratio,,False
Melaka,2023,2.23,Avg Length of Stay (nights),nights,True,True
Melaka,2023,77.777778,Coastal Good+Excellent (%),%,True,True
Melaka,2023,70.1,Labour Force Participation Rate (%),%,True,True
Melaka,2023,47.66147,Non-Domestic Water Share (%),%,False,True
Melaka,2023,6260.818827,Tourism Receipts per Resident (RM),RM,True,True
Melaka,2023,1.7,Unemployment Rate (%),%,False,True
Melaka,2023,0.0,Coastal Poor (%),%,,False
Melaka,2023,,Mangrove Area (ha),ha,,False
Melaka,2023,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Melaka,2023,15.130798,Visitors per Resident,ratio,,False
Melaka,2024,2.13,Avg Length of Stay (nights),nights,True,True
Melaka,2024,77.777778,Coastal Good+Excellent (%),%,True,True
Melaka,2024,69.95,Labour Force Participation Rate (%),%,True,True
Melaka,2024,47.045952,Non-Domestic Water Share (%),%,False,True
Melaka,2024,7579.057992,Tourism Receipts per Resident (RM),RM,True,True
Melaka,2024,1.6,Unemployment Rate (%),%,False,True
Melaka,2024,0.0,Coastal Poor (%),%,,False
Melaka,2024,,Mangrove Area (ha),ha,,False
Melaka,2024,1094.3,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Melaka,2024,18.274577,Visitors per Resident,ratio,,False
Melaka,2025,2.11,Avg Length of Stay (nights),nights,True,True
Melaka,2025,,Coastal Good+Excellent (%),%,True,True
Melaka,2025,70.05,Labour Force Participation Rate (%),%,True,True
Melaka,2025,,Non-Domestic Water Share (%),%,False,True
Melaka,2025,8300.380228,Tourism Receipts per Resident (RM),RM,True,True
Melaka,2025,1.9,Unemployment Rate (%),%,False,True
